Region,Infected,Dead,Recovered
Hubei,51986,1318,3900
guangdong,1261,2,362
Zhejiang,1155,0,392
Henan,1184,11,357
Hunan,988,2,364
Anhui,934,6,193
Jiangjxi,900,1,187
Jiangsu,593,0,157
Chongquing,529,5,139
Shandog,519,2,136
Sichuan,493,1,114
Beijing,366,3,80
Heilongjang,418,11,47
Shanghai,318,1,90
Fujian,281,0,63
Shaanxi,230,0,54
Hebei,283,3,87
Guangxi,226,2,35
Yunnan,162,0,36
Hainan,158,4,39
Shanxi,230,0,54
Liaoning,117,1,29
Guizhou,140,1,28
Tianjin,119,3,31
Japan,28,1,9
Gansu,90,2,29
Jilin,86,1,25
Mongolia,65,0,6
Xinjiang,65,0,6
Ningxia,67,0,24
Singapore,58,0,17
Thailand,33,0,12
HongKong,53,1,1
SouthKorea,28,0,7
Qinghai,18,0,11
Taiwan,18,0,2
Malyasia,19,0,3
UndisclodeLocation ,14,0,0
Vietnam,16,0,7
Germany,16,0,1
Macau,10,0,3
UAE,8,0,1
Paris,5,0,2
Queensland,5,0,0
Haute,5,0,0
Victoria,4,0,4
NSW,4,0,4
Colombia,4,0,0
Italy,3,0,0
UK,9,0,1
Kerela,3,0,1
Philipines,3,1,1
SouthAus,2,0,0
Toronto,2,0,0
Chicago,2,0,2
SanBenito,2,0,0
Russia,2,0,2
Madison,1,0,0
Belgium,1,0,0
London,1,0,1
Boston,1,0,0
Spain,1,0,0
Swden,1,0,0
Cambodia,1,0,1
SriLanka,1,0,1
Seatlle,1,0,1
Orange,1,0,0
Bordeaux,1,0,0
Tempe,1,0,0
Finland,1,0,1
Nepal,1,0,1
LosaAngeles,1,0,0
